Ad Soyad,Birim,Unvan,T.C. Kimlik No,Doğum Tarihi,Doğum Yeri,Kart No,Veriliş Tarihi
Hükümdar Yağın Hayrioğlu,Müezzin,Pratisyen,73519084052,1991-09-18,Kayseri,71418214,2019-11-03
Meleknur Hacile Hayrioğlu,V.H.K.İ.,Doçent,77792180494,1979-11-25,Rize,85819400,2020-06-28
Uz. Adıgün Tarhan,İmam-Hatip,Pratisyen,97404967152,1996-12-19,Rize,70064840,2011-01-06
Tan Yılmaz Yılmaz,İmam-Hatip,Asistan,45238103062,1999-05-01,Erzurum,55724702,2024-01-23
Gülşa Sadeti Demir Sakarya,Daire Başkanı,Profesör,69761991682,1982-05-29,Trabzon,40208656,2017-06-05
Birgül Subutiye Aslan,Teknisyen,Pratisyen,70610372590,1997-10-28,İstanbul,90410448,2018-10-03
Öğr. Mükrüme Fayize Duran Akçay,Müezzin,Doçent,95107586090,1984-11-08,İstanbul,85819165,2023-10-06
Menişan Akgündüz Akça,Tekniker,Pratisyen,30434163880,1966-08-07,Malatya,77834128,2010-10-19
Yrd. Doç. Erseç Akgündüz,İmam-Hatip,Uzman Doktor,36025394800,1979-05-20,Mersin,13949619,2019-01-03
Nurser Akça Çamurcuoğlu,Daire Başkanı,Doçent,80797133716,1961-01-10,Mersin,38364920,2018-05-04
Özgün Duran,Daire Başkanı,Asistan,72145660562,1974-02-01,Malatya,69282495,2010-05-04
Nayil Manço,Mühendis,Doçent,19353553880,1973-06-27,Bursa,97506389,2007-01-04
Uz. Zülbiye Vefia Bilgin Akgündüz,İmam-Hatip,Profesör,70755377078,1975-09-21,Mersin,86493663,2007-10-03
Özbilek Gül,V.H.K.İ.,Uzman Doktor,94812645740,1969-12-20,Adana,11527402,2024-06-08
Hümeyra Yorulmaz Arslan,Daire Başkanı,Pratisyen,75298736276,1966-04-20,İstanbul,66378902,2005-03-29
Güler Yorulmaz,Müezzin,Pratisyen,74277994560,2002-11-04,Gaziantep,41534617,2006-04-17
Serol Bariş Aksu,Memur,Asistan,50073936676,1966-08-22,Kayseri,92980489,2013-12-06
Asu Gülinaz Gülen,V.H.K.İ.,Profesör,34290776536,1960-09-21,Konya,45806390,2019-02-04
Simten Erdoğan,V.H.K.İ.,Profesör,74933831772,1963-11-12,Trabzon,93905539,2009-01-23
Serda Özkent Gül Tevetoğlu,Daire Başkanı,Profesör,86088835444,1963-02-11,Mersin,29630410,2009-01-22
Ökkaş Çağveren Çamurcuoğlu,İmam-Hatip,Asistan,61832882974,1963-12-24,Eskişehir,36569891,2017-04-18
Talayer Alcan Yüksel,Teknisyen,Doçent,90566184672,1971-07-22,Rize,62505953,2018-10-13
Öğr. Nihan Tuğçe Soylu,Müezzin,Profesör,69302713810,2005-04-26,Eskişehir,22064221,2011-02-15
Kayagün Zengin,İmam-Hatip,Uzman Doktor,36933179292,1992-10-30,İstanbul,72829983,2009-06-06
Baydu Türk,Mühendis,Profesör,14372863880,1981-08-05,Van,64270365,2024-04-01
Havse Şüküfe Durmuş,Müezzin,Uzman Doktor,60197757798,1986-06-30,Rize,20934480,2012-05-05
Hazrat Kısakürek,Mühendis,Asistan,71205929342,1977-06-13,Erzurum,78393063,2022-01-24
Çolpan Sezer,Mühendis,Pratisyen,28337367818,1997-09-23,Kayseri,85384868,2010-12-23
